commonName,mass_1_source,mass_2_source
GW190513_205428,35.16265007319870,17.554559810378300
GW190421_213856,41.99722225339920,31.082876617325500
GW190425_081805,1.740089779255030,1.555356642035020
GW190630_185205,34.36060994407650,22.93175559395600
GW190519_153544,63.14810364174590,40.34867439776240
GW191230_180458,49.52635525841550,36.29920051015840
GW200208_130117,37.64125767142800,27.150854901443700
GW191204_171526,12.716144969852700,7.8985727886789300
GW170608_020116,10.978408114158000,7.705852311139650
GW190413_052954,36.532056377735200,25.316121987813200
GW190527_092055,37.1153873246256,21.610064119677200
GW170809_082821,34.15745445004850,24.39340551335270
GW200216_220804,51.700647845454000,31.56612091973450
GW151226_033853,14.19004312038240,7.382353208248400
GW190707_093326,11.560411887908400,8.232669768450930
GW190731_140936,40.89582138574360,29.268128490159800
GW170202_135657,29.662729729654600,14.985534428955000
GW191109_010717,63.99961439192170,50.12518972162570
GW191129_134029,10.859944144641300,6.576137146753010
GW170304_163753,44.82443478119580,30.948524627058700
GW191105_143521,11.022793195996000,7.34791940555713
GW200219_094415,37.667189840571800,27.63658887917060
GW190828_063405,31.747709143446100,26.347700683369700
GW190910_112807,43.75807747670530,32.230550447403200
GW200302_015811,38.51395105017870,21.533838772015000
GW200106_134123,43.99744111632540,27.395892201269800
GW200214_223307,51.60944802769700,30.925104711935900
GW170104_101158,30.22747397869530,19.716134575422800
GW170121_212536,33.43064381967880,24.846005198002900
GW200129_114245,79.09892434924940,31.470393857645400
GW200316_215756,13.925620644666200,7.26393897899157
GW170823_131358,38.17681994904680,28.714243905777000
GW190412_053044,30.32358330945450,8.255935046302420
GW190602_175927,70.82189572759490,43.664090448169900
GW170818_022509,35.34028900628150,26.805619327825600
GW150914_095045,34.910879847047100,29.666460511818300
GW190408_181802,24.743524534470000,18.212230678579400
GW190521_030229,99.80675980875490,58.55362551579460
GW191204_110529,27.757907764952100,19.206159890194800
GW200202_154313,10.553868337067800,6.967838901972300
GW191126_115259,12.38751264161220,7.964906225412080
GW200306_093714,27.507168696813700,15.425535974156800
GW190925_232845,20.91088368300550,15.332570975952000
GW200225_060421,19.076658991715800,14.699110491503600
GW200311_115853,34.55178387417610,26.52523890346780
GW190814_211039,23.280278412466800,2.5795628996310800
GW191215_223052,24.58561764566150,18.258101742404800
GW190514_065416,41.10499879141670,28.33129655543040
GW200210_005122,8.949574195441440,5.884855972845450
GW170727_010430,41.470417463756700,30.232497814294800
GW190929_012149,66.46720589015580,25.926314140600400
GW190620_030421,61.75917279210230,29.744188610097600
GW190404_142514,21.627369567732700,12.107693147970000
GW191216_213338,12.441142155849200,7.412358875010290
GW191222_033537,45.101703913731200,33.877834433091500
GW190924_021846,8.794276897732270,5.001891529698470
GW190503_185404,42.008497017168600,27.44026866538500
GW170814_103043,31.15082871566270,24.69240889402340
GW190727_060333,38.17393826854160,29.53439889971740
GW190728_064510,13.469721542580600,7.586350687632720
GW200105_162426,8.729272825104190,1.9407466612175000
GW200129_065458,40.318811017684400,23.413466600057900
GW170403_230611,48.2773605672111,35.18183093459110
GW190706_222641,69.60507497643900,36.797241177497800
GW191224_043228,14.247103855164000,7.926293609691170
GW190720_000836,13.479656195965300,7.324296991964280
GW200224_222234,40.07113610725220,32.24127234548020
GW170729_185629,53.79391667181250,31.862501674225800
GW200305_084739,33.800048333982500,23.214041153243600
GW190803_022701,37.239735695386900,27.50838805257010
GW190719_215514,38.05903317553640,19.931424515025700
GW190708_232457,18.007785465406200,12.46883366516350
GW190725_174728,11.480367256802200,6.4048384725296000
GW190701_203306,54.7849437972522,41.604967955587
GW200115_042309,6.645692565854330,1.2727620111994000
GW190427_180650,11.358461951787900,6.358865910917210
GW190915_235702,31.761086293191500,24.733264083540800
GW190517_055101,39.047161352067300,24.23209323423010
GW170817_124104,1.4637927346708900,1.2704590241933700
GW190930_133541,12.684638255260100,7.468009045230650
GW200112_155838,37.6260014468252,27.060270358005400
GW200128_022011,40.682994621453300,30.272492134757700
GW190926_050336,39.96146554430220,23.83711875090960
GW190512_180714,23.056962121793300,12.443858341295700
GW190805_105432,13.973973067635900,7.50135796159585
GW190828_065509,24.287418610993900,10.442577950370700
GW151012_095443,25.163561414484900,12.506291087132000
GW190424_180648,40.06885070534520,30.55771359151020
GW191127_050227,52.177173567138200,19.39573923304090
GW190521_074359,42.684678519675900,34.351541591034
GW200318_191337,49.135267036506300,31.647828159803900
GW200209_085452,34.779830661491,25.256271689802800
GW190413_134308,51.3140129863526,31.240519283562300
GW190916_200658,43.8750879205458,24.774618748503100