id,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper,
GW190814_211039-v3,GW190814_211039,3,GWTC-2.1-confident,1249852257,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190814/v3,23.3,-1.4,1.4,2.6,-0.1,0.1,25.3,-0.2,0.1,230,-50,40,0,-0.07,0.07,25.9,-1.3,1.3,6.11,-0.05,0.06,,,,0.05,-0.01,0.01,1E-05,,,1,,,25.7,-1.3,1.3,1
GW190828_063405-v2,GW190828_063405,2,GWTC-2.1-confident,1251009264,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190828_063405/v2,31.9,-4.1,5.4,25.8,-5.3,4.9,16.5,-0.3,0.2,2070,-920,650,0.15,-0.16,0.15,57.2,-4.3,7.9,24.6,-2,3.6,,,,0.38,-0.15,0.1,1E-05,,,1,,,54.3,-4,7.3,1
GW190828_065509-v2,GW190828_065509,2,GWTC-2.1-confident,1251010528,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190828_065509/v2,23.7,-6.7,6.8,10.4,-2.2,3.8,10.2,-0.5,0.4,1540,-650,690,0.05,-0.17,0.16,34.3,-4.3,5.2,13.4,-1,1.4,,,,0.29,-0.11,0.11,3.5E-05,,,0.99998,,,33,-4.3,5.3,1
GW190910_112807-v2,GW190910_112807,2,GWTC-2.1-confident,1252150105,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190910_112807/v2,43.8,-6.8,7.6,34.2,-7.3,6.6,14.5,-0.3,0.2,1520,-630,1090,0,-0.2,0.17,78,-9.1,9.3,33.5,-4.1,4.2,,,,0.29,-0.11,0.17,0.0029,,,0.99669,,,74.4,-8.6,8.5,1
GW190915_235702-v2,GW190915_235702,2,GWTC-2.1-confident,1252627041,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190915_235702/v2,32.6,-4.9,8.8,24.5,-5.8,4.9,13.1,-0.3,0.2,1750,-650,710,-0.03,-0.24,0.19,57.2,-5.3,7.1,24.4,-2.3,3,,,,0.32,-0.11,0.11,1E-05,,,1,,,54.7,-5,6.6,1
GW190916_200658-v1,GW190916_200658,1,GWTC-2.1-confident,1252699637,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190916_200658/v1,43.8,-12.6,19.9,23.3,-10,12.5,8.1,-0.5,0.3,4940,-2380,3710,0.2,-0.31,0.33,68,-13.1,18.3,26.9,-5.4,8.2,,,,0.77,-0.32,0.45,4.7,,,0.65727,,,65,-12.6,17.3,0
GW190917_114630-v1,GW190917_114630,1,GWTC-2.1-confident,1252756008,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190917_114630/v1,9.7,-3.9,3.4,2.1,-0.4,1.1,8.3,-0.8,0.5,720,-310,300,-0.08,-0.43,0.21,11.8,-2.8,3,3.7,-0.2,0.2,,,,0.15,-0.06,0.05,0.66,,,0.76643,,,11.6,-2.9,3.1,0
GW190924_021846-v2,GW190924_021846,2,GWTC-2.1-confident,1253326745,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190924_021846/v2,8.8,-1.8,4.3,5.1,-1.5,1.2,12,-0.4,0.3,550,-220,220,0.03,-0.08,0.2,13.9,-0.9,2.8,5.8,-0.2,0.2,,,,0.11,-0.04,0.04,1E-05,,,1,,,13.3,-0.9,3,1
GW190925_232845-v1,GW190925_232845,1,GWTC-2.1-confident,1253489343,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190925_232845/v1,20.8,-2.9,6.5,15.5,-3.6,2.5,9.7,-0.6,0.3,930,-350,460,0.09,-0.15,0.16,36.7,-2.8,3.6,15.6,-1.1,1.1,,,,0.19,-0.07,0.08,0.0072,,,0.98849,,,34.9,-2.6,3.5,0
GW190926_050336-v1,GW190926_050336,1,GWTC-2.1-confident,1253509434,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190926_050336/v1,41.1,-12.5,20.8,20.4,-8.2,11.4,8.1,-0.8,0.6,3280,-1730,3400,-0.02,-0.32,0.25,61.9,-12,22.7,24.4,-4.9,9,,,,0.55,-0.26,0.44,1.1,,,0.54334,,,59.6,-11.8,22.1,0
GW190929_012149-v2,GW190929_012149,2,GWTC-2.1-confident,1253755327,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190929_012149/v2,66.3,-16.6,21.6,26.8,-10.6,14.7,9.7,-0.6,0.4,3130,-1370,2510,-0.03,-0.28,0.23,93.3,-15,23.3,35.6,-7.4,10.2,,,,0.53,-0.2,0.33,0.16,,,0.87042,,,90.3,-14.6,22.3,0
GW190930_133541-v2,GW190930_133541,2,GWTC-2.1-confident,1253885759,/GWTC-2.1/,http://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190930_133541/v2,14.2,-4,8,6.9,-2.1,2.4,9.7,-0.5,0.3,770,-320,320,0.19,-0.16,0.22,21.2,-2,5.9,8.5,-0.4,0.5,,,,0.16,-0.06,0.06,0.012,,,0.99785,,,20.2,-2,6.1,0
GW191103_012549-v1,GW191103_012549,1,GWTC-3-confident,1256779568,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW191103_012549/v1,11.8,-2.2,6.2,7.9,-2.4,1.7,8.9,-0.5,0.3,990,-470,500,0.21,-0.1,0.16,20,-1.8,3.7,8.34,-0.57,0.66,,,,0.2,-0.09,0.09,0.46,,,0.94318,,,19,-1.7,3.8,0
GW191105_143521-v1,GW191105_143521,1,GWTC-3-confident,1256999740,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW191105_143521/v1,10.7,-1.6,3.7,7.7,-1.9,1.4,9.7,-0.5,0.3,1150,-480,430,-0.02,-0.09,0.13,18.5,-1.3,2.1,7.82,-0.45,0.61,,,,0.23,-0.09,0.07,0.012,,,0.99,,,17.6,-1.2,2.1,0
GW191109_010717-v1,GW191109_010717,1,GWTC-3-confident,1257296855,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW191109_010717/v1,65,-11,11,47,-13,15,17.3,-0.5,0.5,1290,-650,1130,-0.29,-0.31,0.42,112,-16,20,47.5,-7.5,9.6,,,,0.25,-0.12,0.18,0.00018,,,0.99,,,107,-15,18,1
GW191113_071753-v1,GW191113_071753,1,GWTC-3-confident,1257664692,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW191113_071753/v1,29,-14,12,5.9,-1.3,4.4,7.9,-1.1,0.5,1370,-620,1150,0,-0.29,0.37,34.5,-9.8,10.5,10.7,-1,1.1,,,,0.26,-0.11,0.18,26,,,0.68339,,,34,-10,11,0
GW191126_115259-v1,GW191126_115259,1,GWTC-3-confident,1258804398,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW191126_115259/v1,12.1,-2.2,5.5,8.3,-2.4,1.9,8.3,-0.5,0.2,1620,-740,740,0.21,-0.11,0.15,20.7,-2,3.4,8.65,-0.71,0.95,,,,0.3,-0.13,0.12,3.2,,,0.70041,,,19.6,-2,3.5,0
GW191127_050227-v1,GW191127_050227,1,GWTC-3-confident,1258866166,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW191127_050227/v1,53,-20,47,24,-14,17,9.2,-0.6,0.7,3400,-1900,3100,0.18,-0.36,0.34,80,-22,39,29.9,-9.1,11.7,,,,0.57,-0.29,0.4,0.25,,,0.73996,,,76,-21,39,0
GW191129_134029-v1,GW191129_134029,1,GWTC-3-confident,1259070047,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW191129_134029/v1,10.7,-2.1,4.1,6.7,-1.7,1.5,13.1,-0.3,0.2,790,-330,260,0.06,-0.08,0.16,17.5,-1.2,2.4,7.31,-0.28,0.43,,,,0.16,-0.06,0.05,1E-05,,,0.99,,,16.8,-1.2,2.5,1
GW191204_110529-v1,GW191204_110529,1,GWTC-3-confident,1259492748,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW191204_110529/v1,27.3,-5.9,10.8,19.2,-6,5.5,8.9,-0.6,0.4,1900,-1100,1700,0.05,-0.26,0.25,47.1,-7.8,9.1,19.8,-3.2,3.6,,,,0.34,-0.18,0.25,3.3,,,0.74239,,,45,-7.5,8.7,0
GW191204_171526-v1,GW191204_171526,1,GWTC-3-confident,1259514944,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW191204_171526/v1,11.7,-1.7,3.3,8.4,-1.7,1.3,17.4,-0.3,0.2,640,-260,200,0.16,-0.05,0.08,20.19,-0.95,1.64,8.56,-0.28,0.41,,,,0.13,-0.05,0.04,1E-05,,,0.99,,,19.18,-0.93,1.71,1
GW191215_223052-v1,GW191215_223052,1,GWTC-3-confident,1260484270,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW191215_223052/v1,24.9,-4.1,7.1,18.1,-4.1,3.8,11.2,-0.4,0.3,1930,-860,890,-0.04,-0.21,0.17,43.3,-4.3,5.3,18.4,-1.7,2.2,,,,0.35,-0.14,0.13,1E-05,,,0.99,,,41.4,-4.1,5.1,1
GW191216_213338-v1,GW191216_213338,1,GWTC-3-confident,1260567236,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW191216_213338/v1,12.1,-2.2,4.6,7.7,-1.9,1.6,18.6,-0.2,0.2,340,-130,120,0.11,-0.06,0.13,19.8,-0.93,2.7,8.33,-0.19,0.22,,,,0.07,-0.03,0.02,1E-05,,,0.99,,,18.87,-0.93,2.81,1
GW191219_163120-v1,GW191219_163120,1,GWTC-3-confident,1260808298,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW191219_163120/v1,31.1,-2.8,2.2,1.17,-0.06,0.07,9.1,-0.8,0.5,550,-160,240,0,-0.09,0.07,32.3,-2.7,2.2,4.31,-0.17,0.12,,,,0.11,-0.03,0.05,4,,,0.8224,,,32.2,-2.7,2.2,0
GW191222_033537-v1,GW191222_033537,1,GWTC-3-confident,1261020955,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW191222_033537/v1,45.1,-8,10.9,34.7,-10.5,9.3,12.5,-0.3,0.2,3000,-1700,1700,-0.04,-0.25,0.2,79,-11,16,33.8,-5,7.1,,,,0.51,-0.26,0.23,1E-05,,,0.99,,,75.5,-9.9,15.3,1
GW191230_180458-v1,GW191230_180458,1,GWTC-3-confident,1261764316,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW191230_180458/v1,49.4,-9.6,14,37,-12,11,10.4,-0.4,0.3,4300,-1900,2100,-0.05,-0.31,0.26,86,-12,19,36.5,-5.6,8.2,,,,0.69,-0.27,0.26,0.05,,,0.96159,,,82,-11,17,1
GW200112_155838-v1,GW200112_155838,1,GWTC-3-confident,1262879936,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW200112_155838/v1,35.6,-4.5,6.7,28.3,-5.9,4.4,19.8,-0.2,0.1,1250,-460,430,0.06,-0.15,0.15,63.9,-4.6,5.7,27.4,-2.1,2.6,,,,0.24,-0.08,0.07,1E-05,,,0.99,,,60.8,-4.3,5.3,1
GW200115_042309-v2,GW200115_042309,2,GWTC-3-confident,1263097408,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW200115_042309/v2,5.9,-2.5,2,1.44,-0.28,0.85,11.3,-0.5,0.3,290,-100,150,-0.15,-0.42,0.23,7.4,-1.7,1.7,2.43,-0.07,0.05,,,,0.06,-0.02,0.03,1E-05,,,0.99,,,7.2,-1.7,1.8,1
GW200128_022011-v1,GW200128_022011,1,GWTC-3-confident,1264213230,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW200128_022011/v1,42.2,-8.1,11.6,32.6,-9.2,9.5,10.6,-0.4,0.3,3400,-1800,2100,0.12,-0.25,0.24,75,-12,17,32,-5.5,7.5,,,,0.56,-0.28,0.28,0.0043,,,0.99,,,71,-11,16,1
GW200129_065458-v1,GW200129_065458,1,GWTC-3-confident,1264316116,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW200129_065458/v1,34.5,-3.1,9.9,29,-9.3,3.3,26.8,-0.2,0.2,890,-370,260,0.11,-0.16,0.11,63.3,-3.4,4.5,27.2,-2.3,2.1,,,,0.18,-0.07,0.05,1E-05,,,0.99,,,60.2,-3.2,4.1,1
GW200202_154313-v1,GW200202_154313,1,GWTC-3-confident,1264693412,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW200202_154313/v1,10.1,-1.4,3.5,7.3,-1.7,1.1,10.8,-0.4,0.2,410,-160,150,0.04,-0.06,0.13,17.58,-0.67,1.78,7.49,-0.2,0.24,,,,0.09,-0.03,0.03,1E-05,,,0.99,,,16.76,-0.66,1.87,1
GW200208_130117-v1,GW200208_130117,1,GWTC-3-confident,1265202096,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW200208_130117/v1,37.7,-6.2,9.3,27.4,-7.3,6.3,10.8,-0.4,0.3,2230,-850,1020,-0.07,-0.27,0.21,65.3,-6.8,8.1,27.7,-3.1,3.7,,,,0.4,-0.14,0.15,0.00031,,,0.99,,,62.5,-6.4,7.5,1
GW200208_222617-v1,GW200208_222617,1,GWTC-3-confident,1265235996,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW200208_222617/v1,51,-30,103,12.3,-5.5,9.2,7.4,-1.2,1.4,4100,-2000,4400,0.45,-0.46,0.42,63,-26,100,19.8,-5.2,10.5,,,,0.66,-0.29,0.53,4.8,,,0.70006,,,61,-26,99,0
GW200209_085452-v1,GW200209_085452,1,GWTC-3-confident,1265273710,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW200209_085452/v1,35.6,-6.8,10.5,27.1,-7.8,7.8,9.6,-0.5,0.4,3400,-1800,1900,-0.12,-0.3,0.24,62.6,-9.4,13.9,26.7,-4.2,6,,,,0.57,-0.26,0.25,0.046,,,0.97236,,,59.9,-8.9,13.1,0
GW200210_092254-v1,GW200210_092254,1,GWTC-3-confident,1265361793,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW200210_092254/v1,24.1,-4.6,7.5,2.83,-0.42,0.47,8.4,-0.7,0.5,940,-340,430,0.02,-0.21,0.22,27,-4.3,7.1,6.56,-0.4,0.38,,,,0.19,-0.06,0.08,1.2,,,0.54462,,,26.7,-4.3,7.2,0
GW200216_220804-v1,GW200216_220804,1,GWTC-3-confident,1265926103,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW200216_220804/v1,51,-13,22,30,-16,14,8.1,-0.5,0.4,3800,-2000,3000,0.1,-0.36,0.34,81,-14,20,32.9,-8.5,9.3,,,,0.63,-0.29,0.37,0.35,,,0.77277,,,78,-13,19,0
GW200219_094415-v1,GW200219_094415,1,GWTC-3-confident,1266140673,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW200219_094415/v1,37.5,-6.9,10.1,27.9,-8.4,7.4,10.7,-0.5,0.3,3400,-1500,1700,-0.08,-0.29,0.23,65,-8.2,12.6,27.6,-3.8,5.6,,,,0.57,-0.22,0.22,0.00099,,,0.99,,,62.2,-7.8,11.7,1
GW200220_061928-v1,GW200220_061928,1,GWTC-3-confident,1266214787,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW200220_061928/v1,87,-23,40,61,-25,26,7.2,-0.7,0.4,6000,-3100,4800,0.06,-0.38,0.4,148,-33,55,62,-15,23,,,,0.9,-0.4,0.55,6.8,,,0.62376,,,141,-31,51,0
GW200220_124850-v1,GW200220_124850,1,GWTC-3-confident,1266238148,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW200220_124850/v1,38.9,-8.6,14.1,27.9,-9,9.2,8.5,-0.5,0.3,4000,-2200,2800,-0.07,-0.33,0.27,67,-12,17,28.2,-5.1,7.3,,,,0.66,-0.31,0.36,30,,,0.82579,,,64,-11,16,0
GW200224_222234-v1,GW200224_222234,1,GWTC-3-confident,1266618172,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW200224_222234/v1,40,-4.5,6.7,32.7,-7.2,4.8,20,-0.2,0.2,1710,-650,500,0.1,-0.16,0.15,72.3,-5.3,7.2,31.1,-2.7,3.3,,,,0.32,-0.11,0.08,1E-05,,,0.99,,,68.7,-4.8,6.7,1
GW200225_060421-v1,GW200225_060421,1,GWTC-3-confident,1266645879,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW200225_060421/v1,19.3,-3,5,14,-3.5,2.8,12.5,-0.4,0.3,1150,-530,510,-0.12,-0.28,0.17,33.5,-3,3.6,14.2,-1.4,1.5,,,,0.22,-0.1,0.09,1.1E-05,,,0.99,,,32.1,-2.8,3.5,1
GW200302_015811-v1,GW200302_015811,1,GWTC-3-confident,1267149510,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW200302_015811/v1,37.8,-8.5,8.7,20,-5.7,8.1,10.8,-0.4,0.3,1480,-700,1020,0.01,-0.26,0.25,57.8,-6.9,9.6,23.4,-3,4.7,,,,0.28,-0.12,0.16,0.11,,,0.90643,,,55.5,-6.6,8.9,1
GW200306_093714-v1,GW200306_093714,1,GWTC-3-confident,1267522652,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW200306_093714/v1,28.3,-7.7,17.1,14.8,-6.4,6.5,7.8,-0.6,0.4,2100,-1100,1700,0.32,-0.46,0.28,43.9,-7.5,11.8,17.5,-3,3.5,,,,0.38,-0.18,0.24,24,,,0.81156,,,41.7,-6.9,12.3,0
GW200308_173609-v1,GW200308_173609,1,GWTC-3-confident,1267724188,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW200308_173609/v1,60,-29,166,24,-13,36,4.7,-2.9,2.5,7100,-4400,13900,0.16,-0.49,0.58,92,-48,169,34,-18,44,,,,1.04,-0.57,1.47,2.4,,,0.8566,,,88,-47,169,0
GW200311_115853-v1,GW200311_115853,1,GWTC-3-confident,1267963151,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW200311_115853/v1,34.2,-3.8,6.4,27.7,-5.9,4.1,17.8,-0.2,0.2,1170,-400,280,-0.02,-0.2,0.16,61.9,-4.2,5.3,26.6,-2,2.4,,,,0.23,-0.07,0.05,1E-05,,,0.99,,,59,-3.9,4.8,1
GW200316_215756-v1,GW200316_215756,1,GWTC-3-confident,1268431094,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW200316_215756/v1,13.1,-2.9,10.2,7.8,-2.9,2,10.3,-0.7,0.4,1120,-440,480,0.13,-0.1,0.27,21.2,-2,7.2,8.75,-0.55,0.62,,,,0.22,-0.08,0.08,1E-05,,,0.99,,,20.2,-1.9,7.4,1
GW200322_091133-v1,GW200322_091133,1,GWTC-3-confident,1268903511,/GWTC-3/,http://gwosc.org/eventapi/json/GWTC-3-confident/GW200322_091133/v1,38,-22,130,11.3,-6,24.3,4.5,-3,2.7,3500,-2200,12500,0.27,-0.58,0.54,50,-22,132,15,-4,29.5,,,,0.59,-0.32,1.43,140,,,0.61501,,,48,-22,132,0